2007,360000₽,"70 000 км, 1.6 MT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2007_1980421240
2010,329900₽,"100 000 км, 1.6 AMT (115 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2010_1827182576
2008,230000₽,"160 000 км, 1.8 MT (140 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2008_1977354425
2006,245000₽,"208 000 км, 1.6 AMT (105 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2006_1981402471
2007,100000₽,"Битый,  116 000 км, 1.4 MT (90 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2007_1953164317
2011,460000₽,"148 066 км, 1.6 AT (180 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2011_1932261268
2012,550000₽,"70 000 км, 1.6 AT (115 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2012_1885236490
2008,270000₽,"Битый,  278 909 км, 1.6 AMT (115 л.с.), седан, передний, бензин",https://www.avito.ru//yaksatovo/avtomobili/opel_astra_2008_1944937452
2007,298000₽,"128 000 км, 1.8 AT (140 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2007_1955799694
2008,275000₽,"150 000 км, 1.8 AT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2008_1955028618
2007,230000₽,"100 000 км, 1.6 MT (105 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2007_1900372006
2013,570000₽,"112 000 км, 1.4 AT (140 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2013_1811850192
2012,425000₽,"113 000 км, 1.6 MT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2012_1959575724
2002,120000₽,"265 000 км, 1.7 MT (75 л.с.), хетчбэк, передний, дизель",https://www.avito.ru//astrahan/avtomobili/opel_astra_2002_1944586229
2013,580000₽,"66 000 км, 1.6 AT (115 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2013_1969943841
2010,409900₽,"127 000 км, 1.7 MT (110 л.с.), универсал, передний, дизель",https://www.avito.ru//astrahan/avtomobili/opel_astra_2010_1976499981
2013,510000₽,"140 000 км, 1.4 AT (140 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2013_1879429965
2013,565000₽,"64 000 км, 1.4 AT (140 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2013_1919758233
2010,325000₽,"136 187 км, 1.6 AMT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2010_1965262248
2010,550000₽,"59 000 км, 1.6 AT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2010_1864533583
2008,280000₽,"116 000 км, 1.8 MT (140 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2008_1895343020
2011,450000₽,"120 000 км, 1.6 AT (180 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2011_1900412682
2010,427999₽,"Битый,  101 000 км, 1.6 AT (180 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2010_1803910801
2012,400000₽,"90 000 км, 1.8 AT (140 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2012_1973880708
2007,315000₽,"180 000 км, 1.6 MT (115 л.с.), седан, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2007_1976212555
1992,95000₽,"367 760 км, 1.6 MT (71 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_1992_1940836019
2008,260000₽,"138 000 км, 1.6 AT (103 л.с.), купе, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2008_1926506656
2010,315000₽,"170 000 км, 1.4 AMT (90 л.с.), хетчбэк, передний, бензин",https://www.avito.ru//volodarskiy/avtomobili/opel_astra_2010_1934693246
2008,435000₽,"111 500 км, 1.8 AT (125 л.с.), купе, передний, бензин",https://www.avito.ru//astrahan/avtomobili/opel_astra_2008_1976809487
